Bnb,MEANenv,Venv,SDenv,Essentiality,GlobalEssentiality,RMenv,SSenv,DMenv
b2398,6.119807304268845,0.5804626793173432,0.7618810138842831,Nonessential,Nonessential,0.799348446920581,0.7288520288328078,0.033028985051475335
b3885,6.120585455070732,0.3128907075446106,0.5593663446656499,Nonessential,Nonessential,0.7967547003229736,0.728803907672101,-0.16943756300645108
b1178,6.121073068415923,5.206576755069604,2.281792443468425,Nonessential,Nonessential,0.799348446920581,0.7287737946942282,1.5530186487741968
b3253,6.121678029850497,0.564067038148996,0.7510439655233214,Nonessential,Nonessential,0.7967547003229736,0.7287364789993913,0.02230748652393011
b0840,6.121911866989407,0.23238387931811952,0.48206211147332406,Nonessential,Nonessential,0.7967547003229736,0.7287220684115249,-0.2466599569382008
b0802,6.122951786067525,0.8205545265188084,0.9058446481151216,Nonessential,Nonessential,0.7967547003229736,0.7286580705553105,0.17718657755981104
b3107,6.123605186564458,0.725166167224824,0.8515668894601434,Nonessential,Nonessential,0.7967547003229736,0.7286179338098094,0.12294895565033392
b0183,6.1265398545927665,0.6348180524867514,0.7967547003229736,Nonessential,Essential,0.7618810138842831,0.7284383740958014,0.06831632622717221
b3789,6.126969361563605,0.6489587860626511,0.8055797825558006,Nonessential,Nonessential,0.7510439655233214,0.7284121920701623,0.07716759048563837
b4170,6.128897207756696,0.2945625968656839,0.5427362129669292,Nonessential,Nonessential,0.7615593561136083,0.728294982160255,-0.1855587691933258
b3892,6.13111754471207,2.5658973960647162,1.6018418761115956,Nonessential,Nonessential,0.7510439655233214,0.7281606163595529,0.8736812597520427
b3487,6.131296942424009,0.789981770628489,0.888809186849736,Nonessential,Nonessential,0.7498998902375298,0.7281497893405721,0.16065939750916391
b1018,6.134369852497642,3.01704454926711,1.736964176161129,Nonessential,Nonessential,0.7451155930024762,0.727965018284701,1.0089991578764281
b0639,6.134442299842333,0.23317876493745834,0.4828858715446729,Essential,Nonessential,0.6847474322436836,0.7279606777620048,-0.2450748062173319
b0657,6.135415975690513,0.3345575805038177,0.5784095266364634,Essential,Essential,0.6847474322436836,0.7279024123555897,-0.14949288571912633
b3549,6.135603529207591,0.2815171341839727,0.5305818826382717,Nonessential,Nonessential,0.6847474322436836,0.7278912040596258,-0.19730932142135416
b3425,6.137422796340607,0.44279644733301166,0.6654295209359228,Nonessential,Nonessential,0.675250398910353,0.7277827362165129,-0.062353215280590124
b0459,6.137838779311322,0.45596310122859085,0.675250398910353,Nonessential,Nonessential,0.675250398910353,0.727757999017249,-0.052507600106896035
b1557,6.138283694921062,9.650896087736793,3.1065891404781536,Nonessential,Nonessential,0.675250398910353,0.7277315678744644,2.3788575726036894
b4078,6.141117046443264,0.3522832882336522,0.5935345720626998,Nonessential,Nonessential,0.675250398910353,0.727563893226357,-0.13402932116365718
b3835,6.142767144982344,0.5623498453782593,0.7498998902375298,Nonessential,Essential,0.675250398910353,0.7274667588641607,0.02243313137336911
b1181,6.143431651218032,0.245782633203411,0.49576469539834217,Nonessential,Nonessential,0.6654295209359228,0.727427749855169,-0.23166305445682683
b1188,6.14407728550342,4.009029748288962,2.0022561645026746,Nonessential,Nonessential,0.675250398910353,0.727389907979954,1.2748662565227207
b4362,6.145627296106198,0.29452952298214596,0.542705742536548,Nonessential,Essential,0.6654295209359228,0.7272992975991898,-0.18459355506264175
